,image_id,identity,path,split
0,0,Fredy,chimpanzee_faces-master/datasets_cropped_chimpanzee_faces/data_CTai/face_images/img-id1-object-1_0.png,train
1,1,Victor,chimpanzee_faces-master/datasets_cropped_chimpanzee_faces/data_CTai/face_images/img-id2-object-1_1.png,train
2,2,Fredy,chimpanzee_faces-master/datasets_cropped_chimpanzee_faces/data_CTai/face_images/img-id3-object-1_2.png,train
3,3,Victor,chimpanzee_faces-master/datasets_cropped_chimpanzee_faces/data_CTai/face_images/img-id3-object-2_3.png,test
4,4,Fredy,chimpanzee_faces-master/datasets_cropped_chimpanzee_faces/data_CTai/face_images/img-id4-object-1_4.png,train
5,5,Fredy,chimpanzee_faces-master/datasets_cropped_chimpanzee_faces/data_CTai/face_images/img-id5-object-1_5.png,train
6,6,Victor,chimpanzee_faces-master/datasets_cropped_chimpanzee_faces/data_CTai/face_images/img-id5-object-2_6.png,train
7,7,Fredy,chimpanzee_faces-master/datasets_cropped_chimpanzee_faces/data_CTai/face_images/img-id6-object-1_7.png,train
8,8,Victor,chimpanzee_faces-master/datasets_cropped_chimpanzee_faces/data_CTai/face_images/img-id6-object-2_8.png,train
9,9,Fredy,chimpanzee_faces-master/datasets_cropped_chimpanzee_faces/data_CTai/face_images/img-id7-object-1_9.png,train
10,10,Fredy,chimpanzee_faces-master/datasets_cropped_chimpanzee_faces/data_CTai/face_images/img-id8-object-1_10.png,test
11,11,Fredy,chimpanzee_faces-master/datasets_cropped_chimpanzee_faces/data_CTai/face_images/img-id9-object-1_11.png,train
12,12,Victor,chimpanzee_faces-master/datasets_cropped_chimpanzee_faces/data_CTai/face_images/img-id10-object-1_12.png,train
13,13,Victor,chimpanzee_faces-master/datasets_cropped_chimpanzee_faces/data_CTai/face_images/img-id11-object-1_13.png,train
14,14,Victor,chimpanzee_faces-master/datasets_cropped_chimpanzee_faces/data_CTai/face_images/img-id12-object-1_14.png,train
15,15,Victor,chimpanzee_faces-master/datasets_cropped_chimpanzee_faces/data_CTai/face_images/img-id13-object-1_15.png,train
16,16,Victor,chimpanzee_faces-master/datasets_cropped_chimpanzee_faces/data_CTai/face_images/img-id14-object-1_16.png,test
17,17,Victor,chimpanzee_faces-master/datasets_cropped_chimpanzee_faces/data_CTai/face_images/img-id15-object-1_17.png,test
18,18,Victor,chimpanzee_faces-master/datasets_cropped_chimpanzee_faces/data_CTai/face_images/img-id16-object-1_18.png,train
19,19,Victor,chimpanzee_faces-master/datasets_cropped_chimpanzee_faces/data_CTai/face_images/img-id17-object-1_19.png,test
20,20,Fredy,chimpanzee_faces-master/datasets_cropped_chimpanzee_faces/data_CTai/face_images/img-id18-object-1_20.png,test
21,21,Victor,chimpanzee_faces-master/datasets_cropped_chimpanzee_faces/data_CTai/face_images/img-id18-object-2_21.png,train
22,22,Fredy,chimpanzee_faces-master/datasets_cropped_chimpanzee_faces/data_CTai/face_images/img-id19-object-1_22.png,train
23,23,Victor,chimpanzee_faces-master/datasets_cropped_chimpanzee_faces/data_CTai/face_images/img-id19-object-2_23.png,train
24,24,Victor,chimpanzee_faces-master/datasets_cropped_chimpanzee_faces/data_CTai/face_images/img-id20-object-1_24.png,test
25,25,Fredy,chimpanzee_faces-master/datasets_cropped_chimpanzee_faces/data_CTai/face_images/img-id20-object-2_25.png,train
26,26,Victor,chimpanzee_faces-master/datasets_cropped_chimpanzee_faces/data_CTai/face_images/img-id21-object-1_26.png,test
27,27,Fredy,chimpanzee_faces-master/datasets_cropped_chimpanzee_faces/data_CTai/face_images/img-id22-object-1_27.png,train
28,28,Victor,chimpanzee_faces-master/datasets_cropped_chimpanzee_faces/data_CTai/face_images/img-id22-object-2_28.png,train
29,29,Fredy,chimpanzee_faces-master/datasets_cropped_chimpanzee_faces/data_CTai/face_images/img-id23-object-1_29.png,test
30,30,Fredy,chimpanzee_faces-master/datasets_cropped_chimpanzee_faces/data_CTai/face_images/img-id24-object-1_30.png,test
31,31,Fredy,chimpanzee_faces-master/datasets_cropped_chimpanzee_faces/data_CTai/face_images/img-id25-object-1_31.png,test
32,32,Fredy,chimpanzee_faces-master/datasets_cropped_chimpanzee_faces/data_CTai/face_images/img-id26-object-1_32.png,train
33,33,Fredy,chimpanzee_faces-master/datasets_cropped_chimpanzee_faces/data_CTai/face_images/img-id27-object-1_33.png,train
34,34,Fredy,chimpanzee_faces-master/datasets_cropped_chimpanzee_faces/data_CTai/face_images/img-id28-object-1_34.png,train
35,35,Fredy,chimpanzee_faces-master/datasets_cropped_chimpanzee_faces/data_CTai/face_images/img-id29-object-1_35.png,train
36,36,Victor,chimpanzee_faces-master/datasets_cropped_chimpanzee_faces/data_CTai/face_images/img-id30-object-1_36.png,train
37,37,Victor,chimpanzee_faces-master/datasets_cropped_chimpanzee_faces/data_CTai/face_images/img-id31-object-1_37.png,train
38,38,Fredy,chimpanzee_faces-master/datasets_cropped_chimpanzee_faces/data_CTai/face_images/img-id32-object-1_38.png,train
39,39,Victor,chimpanzee_faces-master/datasets_cropped_chimpanzee_faces/data_CTai/face_images/img-id32-object-2_39.png,train
40,40,Fredy,chimpanzee_faces-master/datasets_cropped_chimpanzee_faces/data_CTai/face_images/img-id33-object-1_40.png,train
41,41,Victor,chimpanzee_faces-master/datasets_cropped_chimpanzee_faces/data_CTai/face_images/img-id33-object-2_41.png,test
42,42,Victor,chimpanzee_faces-master/datasets_cropped_chimpanzee_faces/data_CTai/face_images/img-id34-object-1_42.png,test
43,43,Fredy,chimpanzee_faces-master/datasets_cropped_chimpanzee_faces/data_CTai/face_images/img-id34-object-2_43.png,train
44,44,Fredy,chimpanzee_faces-master/datasets_cropped_chimpanzee_faces/data_CTai/face_images/img-id35-object-1_44.png,train
45,45,Victor,chimpanzee_faces-master/datasets_cropped_chimpanzee_faces/data_CTai/face_images/img-id35-object-2_45.png,test
46,46,Fredy,chimpanzee_faces-master/datasets_cropped_chimpanzee_faces/data_CTai/face_images/img-id36-object-1_46.png,train
