,image_id,identity,path,split
0,0,Alex,chimpanzee_faces-master/datasets_cropped_chimpanzee_faces/data_CZoo/face_images/img-id1-object-1_0.png,train
1,1,Alex,chimpanzee_faces-master/datasets_cropped_chimpanzee_faces/data_CZoo/face_images/img-id2-object-1_1.png,train
2,2,Alex,chimpanzee_faces-master/datasets_cropped_chimpanzee_faces/data_CZoo/face_images/img-id3-object-1_2.png,test
3,3,Jahaga,chimpanzee_faces-master/datasets_cropped_chimpanzee_faces/data_CZoo/face_images/img-id4-object-1_3.png,train
4,4,Jahaga,chimpanzee_faces-master/datasets_cropped_chimpanzee_faces/data_CZoo/face_images/img-id5-object-1_4.png,train
5,5,Alex,chimpanzee_faces-master/datasets_cropped_chimpanzee_faces/data_CZoo/face_images/img-id6-object-1_5.png,train
6,6,Alex,chimpanzee_faces-master/datasets_cropped_chimpanzee_faces/data_CZoo/face_images/img-id7-object-1_6.png,train
7,7,Jahaga,chimpanzee_faces-master/datasets_cropped_chimpanzee_faces/data_CZoo/face_images/img-id7-object-2_7.png,train
8,8,Alex,chimpanzee_faces-master/datasets_cropped_chimpanzee_faces/data_CZoo/face_images/img-id8-object-1_8.png,test
9,9,Jahaga,chimpanzee_faces-master/datasets_cropped_chimpanzee_faces/data_CZoo/face_images/img-id8-object-2_9.png,train
10,10,Alex,chimpanzee_faces-master/datasets_cropped_chimpanzee_faces/data_CZoo/face_images/img-id9-object-1_10.png,train
11,11,Alex,chimpanzee_faces-master/datasets_cropped_chimpanzee_faces/data_CZoo/face_images/img-id10-object-1_11.png,train
12,12,Alex,chimpanzee_faces-master/datasets_cropped_chimpanzee_faces/data_CZoo/face_images/img-id11-object-1_12.png,train
13,13,Alex,chimpanzee_faces-master/datasets_cropped_chimpanzee_faces/data_CZoo/face_images/img-id12-object-1_13.png,train
14,14,Alex,chimpanzee_faces-master/datasets_cropped_chimpanzee_faces/data_CZoo/face_images/img-id13-object-1_14.png,train
15,15,Alex,chimpanzee_faces-master/datasets_cropped_chimpanzee_faces/data_CZoo/face_images/img-id14-object-1_15.png,train
16,16,Alex,chimpanzee_faces-master/datasets_cropped_chimpanzee_faces/data_CZoo/face_images/img-id15-object-1_16.png,train
17,17,Alex,chimpanzee_faces-master/datasets_cropped_chimpanzee_faces/data_CZoo/face_images/img-id16-object-1_17.png,train
18,18,Alex,chimpanzee_faces-master/datasets_cropped_chimpanzee_faces/data_CZoo/face_images/img-id17-object-1_18.png,train
19,19,Alex,chimpanzee_faces-master/datasets_cropped_chimpanzee_faces/data_CZoo/face_images/img-id18-object-1_19.png,train
20,20,Alex,chimpanzee_faces-master/datasets_cropped_chimpanzee_faces/data_CZoo/face_images/img-id19-object-1_20.png,train
21,21,Alex,chimpanzee_faces-master/datasets_cropped_chimpanzee_faces/data_CZoo/face_images/img-id20-object-1_21.png,train
22,22,Alexandra,chimpanzee_faces-master/datasets_cropped_chimpanzee_faces/data_CZoo/face_images/img-id21-object-1_22.png,train
23,23,Alexandra,chimpanzee_faces-master/datasets_cropped_chimpanzee_faces/data_CZoo/face_images/img-id22-object-1_23.png,test
24,24,Alexandra,chimpanzee_faces-master/datasets_cropped_chimpanzee_faces/data_CZoo/face_images/img-id23-object-1_24.png,train
25,25,Alexandra,chimpanzee_faces-master/datasets_cropped_chimpanzee_faces/data_CZoo/face_images/img-id24-object-1_25.png,train
26,26,Alexandra,chimpanzee_faces-master/datasets_cropped_chimpanzee_faces/data_CZoo/face_images/img-id25-object-1_26.png,train
27,27,Alexandra,chimpanzee_faces-master/datasets_cropped_chimpanzee_faces/data_CZoo/face_images/img-id26-object-1_27.png,test
28,28,Alexandra,chimpanzee_faces-master/datasets_cropped_chimpanzee_faces/data_CZoo/face_images/img-id27-object-1_28.png,test
29,29,Alexandra,chimpanzee_faces-master/datasets_cropped_chimpanzee_faces/data_CZoo/face_images/img-id28-object-1_29.png,train
30,30,Alexandra,chimpanzee_faces-master/datasets_cropped_chimpanzee_faces/data_CZoo/face_images/img-id29-object-1_30.png,test
31,31,Alexandra,chimpanzee_faces-master/datasets_cropped_chimpanzee_faces/data_CZoo/face_images/img-id30-object-1_31.png,train
32,32,Alexandra,chimpanzee_faces-master/datasets_cropped_chimpanzee_faces/data_CZoo/face_images/img-id31-object-1_32.png,train
33,33,Gertrudia,chimpanzee_faces-master/datasets_cropped_chimpanzee_faces/data_CZoo/face_images/img-id32-object-1_33.png,train
34,34,Gertrudia,chimpanzee_faces-master/datasets_cropped_chimpanzee_faces/data_CZoo/face_images/img-id33-object-1_34.png,test
35,35,Gertrudia,chimpanzee_faces-master/datasets_cropped_chimpanzee_faces/data_CZoo/face_images/img-id34-object-1_35.png,test
36,36,Alexandra,chimpanzee_faces-master/datasets_cropped_chimpanzee_faces/data_CZoo/face_images/img-id35-object-1_36.png,train
37,37,Alexandra,chimpanzee_faces-master/datasets_cropped_chimpanzee_faces/data_CZoo/face_images/img-id36-object-1_37.png,test
38,38,Alexandra,chimpanzee_faces-master/datasets_cropped_chimpanzee_faces/data_CZoo/face_images/img-id37-object-1_38.png,train
39,39,Alexandra,chimpanzee_faces-master/datasets_cropped_chimpanzee_faces/data_CZoo/face_images/img-id38-object-1_39.png,train
40,40,Alexandra,chimpanzee_faces-master/datasets_cropped_chimpanzee_faces/data_CZoo/face_images/img-id39-object-1_40.png,train
41,41,Alexandra,chimpanzee_faces-master/datasets_cropped_chimpanzee_faces/data_CZoo/face_images/img-id40-object-1_41.png,train
42,42,Alexandra,chimpanzee_faces-master/datasets_cropped_chimpanzee_faces/data_CZoo/face_images/img-id41-object-1_42.png,train
43,43,Alexandra,chimpanzee_faces-master/datasets_cropped_chimpanzee_faces/data_CZoo/face_images/img-id42-object-1_43.png,test
44,44,Alexandra,chimpanzee_faces-master/datasets_cropped_chimpanzee_faces/data_CZoo/face_images/img-id43-object-1_44.png,train
45,45,Annett,chimpanzee_faces-master/datasets_cropped_chimpanzee_faces/data_CZoo/face_images/img-id44-object-1_45.png,test
46,46,Annett,chimpanzee_faces-master/datasets_cropped_chimpanzee_faces/data_CZoo/face_images/img-id45-object-1_46.png,train
47,47,Alexandra,chimpanzee_faces-master/datasets_cropped_chimpanzee_faces/data_CZoo/face_images/img-id46-object-1_47.png,test
