,image_id,identity,path,split
0,007814b19d61746a,cluster225,pbil.univ-lyon1.fr/pub/datasets/miele2021/clusters/cluster225/476_20150719_142338_20150719_1423-1_0_007814b19d61746a.jpg,train
1,009302cbbd62935c,cluster1266,pbil.univ-lyon1.fr/pub/datasets/miele2021/clusters/cluster1266/1179_20150802_103353_20150802_1033_1_009302cbbd62935c.jpg,test
2,00f03bf50f67578e,cluster9.03,pbil.univ-lyon1.fr/pub/datasets/miele2021/clusters/cluster9.03/1203_20150802_105615_20150802_1056-3_0_00f03bf50f67578e.jpg,train
3,014ca92c414554c8,cluster539,pbil.univ-lyon1.fr/pub/datasets/miele2021/clusters/cluster539/69_20130807_115804_LEO_5941_0_014ca92c414554c8.jpg,test
4,01528dcb1ae17c2b,cluster875,pbil.univ-lyon1.fr/pub/datasets/miele2021/clusters/cluster875/2188_20180315_163258_CB_1503_DSC_9634_0_01528dcb1ae17c2b.jpg,test
5,015360b84beea862,cluster889,pbil.univ-lyon1.fr/pub/datasets/miele2021/clusters/cluster889/2532_20180323_083621_CB_2403_DSC_0217_0_015360b84beea862.jpg,train
6,02022f883425f010,cluster1176,pbil.univ-lyon1.fr/pub/datasets/miele2021/clusters/cluster1176/1206_20150802_105734_20150802_1057-1_0_02022f883425f010.jpg,train
7,02206c50155f9096,cluster868,pbil.univ-lyon1.fr/pub/datasets/miele2021/clusters/cluster868/218_20140812_131322_20140812_1313-1_0_02206c50155f9096.jpg,train
8,025a739b005147dc,cluster82,pbil.univ-lyon1.fr/pub/datasets/miele2021/clusters/cluster82/858_20150728_102444_20150728_1024_0_025a739b005147dc.jpg,train
9,025e0ec72bd7b29a,cluster106,pbil.univ-lyon1.fr/pub/datasets/miele2021/clusters/cluster106/723_20150726_111416_20150726_1114_0_025e0ec72bd7b29a.jpg,test
10,0263ddd59e2f152c,cluster72,pbil.univ-lyon1.fr/pub/datasets/miele2021/clusters/cluster72/3289_20180917_130451_A1070046_0_0263ddd59e2f152c.jpg,train
11,030ac240723b0056,cluster204,pbil.univ-lyon1.fr/pub/datasets/miele2021/clusters/cluster204/1846_20170829_153814_DA_29_08_2017_DSC_0165_0_030ac240723b0056.jpg,train
12,031cefb696de317e,cluster36,pbil.univ-lyon1.fr/pub/datasets/miele2021/clusters/cluster36/860_20150728_102601_20150728_1026_0_031cefb696de317e.jpg,train
13,0359d61cb1867f37,cluster834,pbil.univ-lyon1.fr/pub/datasets/miele2021/clusters/cluster834/584_20150724_104025_20150724_1040-2_0_0359d61cb1867f37.jpg,train
14,03705a90dee08155,cluster351,pbil.univ-lyon1.fr/pub/datasets/miele2021/clusters/cluster351/2926_20180402_112758_DSC00180_3_03705a90dee08155.jpg,train
15,039bb452b5d0e425,cluster218,pbil.univ-lyon1.fr/pub/datasets/miele2021/clusters/cluster218/3291_20180917_130459_P1070048_0_039bb452b5d0e425.jpg,test
