,image_id,identity,path,split
0,0,A,zebra_training_set/images/zebra_A_frame_0.png,train
1,1,A,zebra_training_set/images/zebra_A_frame_1.png,train
2,2,A,zebra_training_set/images/zebra_A_frame_2.png,test
3,3,A,zebra_training_set/images/zebra_A_frame_3.png,train
4,4,A,zebra_training_set/images/zebra_A_frame_4.png,train
5,5,A,zebra_training_set/images/zebra_A_frame_5.png,test
6,6,A,zebra_training_set/images/zebra_A_frame_6.png,train
7,7,A,zebra_training_set/images/zebra_A_frame_7.png,train
8,8,A,zebra_training_set/images/zebra_A_frame_8.png,train
9,9,A,zebra_training_set/images/zebra_A_frame_9.png,train
10,10,A,zebra_training_set/images/zebra_A_frame_10.png,train
11,11,A,zebra_training_set/images/zebra_A_frame_11.png,train
12,12,A,zebra_training_set/images/zebra_A_frame_12.png,train
13,13,A,zebra_training_set/images/zebra_A_frame_13.png,train
14,14,A,zebra_training_set/images/zebra_A_frame_14.png,train
15,15,A,zebra_training_set/images/zebra_A_frame_15.png,train
16,16,A,zebra_training_set/images/zebra_A_frame_16.png,train
17,17,A,zebra_training_set/images/zebra_A_frame_17.png,train
18,18,A,zebra_training_set/images/zebra_A_frame_18.png,train
19,19,A,zebra_training_set/images/zebra_A_frame_19.png,train
20,20,A,zebra_training_set/images/zebra_A_frame_20.png,train
21,21,A,zebra_training_set/images/zebra_A_frame_21.png,test
22,22,A,zebra_training_set/images/zebra_A_frame_22.png,train
23,23,A,zebra_training_set/images/zebra_A_frame_23.png,train
24,24,A,zebra_training_set/images/zebra_A_frame_24.png,train
25,25,A,zebra_training_set/images/zebra_A_frame_25.png,train
26,26,A,zebra_training_set/images/zebra_A_frame_26.png,test
27,27,A,zebra_training_set/images/zebra_A_frame_27.png,train
28,28,A,zebra_training_set/images/zebra_A_frame_28.png,train
29,29,A,zebra_training_set/images/zebra_A_frame_29.png,train
30,30,A,zebra_training_set/images/zebra_A_frame_30.png,test
31,31,A,zebra_training_set/images/zebra_A_frame_31.png,test
32,32,A,zebra_training_set/images/zebra_A_frame_32.png,train
33,33,A,zebra_training_set/images/zebra_A_frame_33.png,test
34,34,A,zebra_training_set/images/zebra_A_frame_34.png,train
35,35,A,zebra_training_set/images/zebra_A_frame_35.png,train
36,36,A,zebra_training_set/images/zebra_A_frame_36.png,train
37,37,A,zebra_training_set/images/zebra_A_frame_37.png,train
38,38,A,zebra_training_set/images/zebra_A_frame_38.png,test
39,39,A,zebra_training_set/images/zebra_A_frame_39.png,train
40,40,A,zebra_training_set/images/zebra_A_frame_40.png,train
41,41,A,zebra_training_set/images/zebra_A_frame_41.png,test
42,42,A,zebra_training_set/images/zebra_A_frame_42.png,train
43,43,A,zebra_training_set/images/zebra_A_frame_43.png,train
44,44,A,zebra_training_set/images/zebra_A_frame_44.png,train
45,45,A,zebra_training_set/images/zebra_A_frame_45.png,train
46,46,A,zebra_training_set/images/zebra_A_frame_46.png,train
47,47,A,zebra_training_set/images/zebra_A_frame_47.png,train
48,48,A,zebra_training_set/images/zebra_A_frame_48.png,train
49,49,A,zebra_training_set/images/zebra_A_frame_49.png,train
50,50,A,zebra_training_set/images/zebra_A_frame_50.png,train
51,51,A,zebra_training_set/images/zebra_A_frame_51.png,test
52,52,A,zebra_training_set/images/zebra_A_frame_52.png,train
53,53,A,zebra_training_set/images/zebra_A_frame_53.png,test
54,54,A,zebra_training_set/images/zebra_A_frame_54.png,train
55,55,A,zebra_training_set/images/zebra_A_frame_55.png,train
56,56,A,zebra_training_set/images/zebra_A_frame_56.png,train
57,57,A,zebra_training_set/images/zebra_A_frame_57.png,train
58,58,A,zebra_training_set/images/zebra_A_frame_58.png,train
59,59,A,zebra_training_set/images/zebra_A_frame_59.png,test
60,60,A,zebra_training_set/images/zebra_A_frame_60.png,test
61,61,A,zebra_training_set/images/zebra_A_frame_61.png,train
62,62,A,zebra_training_set/images/zebra_A_frame_62.png,train
63,63,A,zebra_training_set/images/zebra_A_frame_63.png,train
64,64,A,zebra_training_set/images/zebra_A_frame_64.png,train
65,65,A,zebra_training_set/images/zebra_A_frame_65.png,train
66,66,A,zebra_training_set/images/zebra_A_frame_66.png,train
67,67,A,zebra_training_set/images/zebra_A_frame_67.png,train
68,68,A,zebra_training_set/images/zebra_A_frame_68.png,train
69,69,A,zebra_training_set/images/zebra_A_frame_69.png,test
70,70,A,zebra_training_set/images/zebra_A_frame_70.png,train
71,71,A,zebra_training_set/images/zebra_A_frame_71.png,train
72,72,A,zebra_training_set/images/zebra_A_frame_72.png,test
73,73,A,zebra_training_set/images/zebra_A_frame_73.png,train
74,74,A,zebra_training_set/images/zebra_A_frame_74.png,train
75,75,A,zebra_training_set/images/zebra_A_frame_75.png,train
76,76,A,zebra_training_set/images/zebra_A_frame_76.png,test
77,77,A,zebra_training_set/images/zebra_A_frame_77.png,test
78,78,A,zebra_training_set/images/zebra_A_frame_78.png,train
79,79,A,zebra_training_set/images/zebra_A_frame_79.png,test
80,80,A,zebra_training_set/images/zebra_A_frame_80.png,train
81,81,A,zebra_training_set/images/zebra_A_frame_81.png,train
82,82,A,zebra_training_set/images/zebra_A_frame_82.png,train
83,83,A,zebra_training_set/images/zebra_A_frame_83.png,test
84,84,A,zebra_training_set/images/zebra_A_frame_84.png,train
85,85,A,zebra_training_set/images/zebra_A_frame_85.png,train
86,86,A,zebra_training_set/images/zebra_A_frame_86.png,train
87,87,A,zebra_training_set/images/zebra_A_frame_87.png,train
88,88,A,zebra_training_set/images/zebra_A_frame_88.png,train
89,89,A,zebra_training_set/images/zebra_A_frame_89.png,test
90,90,A,zebra_training_set/images/zebra_A_frame_90.png,train
91,91,A,zebra_training_set/images/zebra_A_frame_91.png,test
92,92,A,zebra_training_set/images/zebra_A_frame_92.png,train
93,93,A,zebra_training_set/images/zebra_A_frame_93.png,test
94,94,A,zebra_training_set/images/zebra_A_frame_94.png,train
95,95,A,zebra_training_set/images/zebra_A_frame_95.png,train
96,96,A,zebra_training_set/images/zebra_A_frame_96.png,train
97,97,A,zebra_training_set/images/zebra_A_frame_97.png,train
98,98,A,zebra_training_set/images/zebra_A_frame_98.png,train
99,99,A,zebra_training_set/images/zebra_A_frame_99.png,train
100,100,A,zebra_training_set/images/zebra_A_frame_100.png,train
101,101,A,zebra_training_set/images/zebra_A_frame_101.png,train
102,102,A,zebra_training_set/images/zebra_A_frame_102.png,train
103,103,A,zebra_training_set/images/zebra_A_frame_103.png,test
104,104,A,zebra_training_set/images/zebra_A_frame_104.png,train
105,105,A,zebra_training_set/images/zebra_A_frame_105.png,train
106,106,A,zebra_training_set/images/zebra_A_frame_106.png,train
107,107,A,zebra_training_set/images/zebra_A_frame_107.png,train
108,108,A,zebra_training_set/images/zebra_A_frame_108.png,test
109,109,A,zebra_training_set/images/zebra_A_frame_109.png,test
110,110,A,zebra_training_set/images/zebra_A_frame_110.png,train
111,111,A,zebra_training_set/images/zebra_A_frame_111.png,train
112,112,A,zebra_training_set/images/zebra_A_frame_112.png,train
113,113,A,zebra_training_set/images/zebra_A_frame_113.png,train
114,114,A,zebra_training_set/images/zebra_A_frame_114.png,train
115,115,A,zebra_training_set/images/zebra_A_frame_115.png,train
116,116,A,zebra_training_set/images/zebra_A_frame_116.png,train
117,117,A,zebra_training_set/images/zebra_A_frame_117.png,train
118,118,A,zebra_training_set/images/zebra_A_frame_118.png,test
119,119,A,zebra_training_set/images/zebra_A_frame_119.png,train
120,120,A,zebra_training_set/images/zebra_A_frame_120.png,train
121,121,A,zebra_training_set/images/zebra_A_frame_121.png,train
122,122,A,zebra_training_set/images/zebra_A_frame_122.png,train
123,123,A,zebra_training_set/images/zebra_A_frame_123.png,test
124,124,A,zebra_training_set/images/zebra_A_frame_124.png,test
125,125,A,zebra_training_set/images/zebra_A_frame_125.png,test
126,126,A,zebra_training_set/images/zebra_A_frame_126.png,test
127,127,A,zebra_training_set/images/zebra_A_frame_127.png,train
128,128,A,zebra_training_set/images/zebra_A_frame_128.png,train
129,129,A,zebra_training_set/images/zebra_A_frame_129.png,train
130,130,A,zebra_training_set/images/zebra_A_frame_130.png,train
131,131,A,zebra_training_set/images/zebra_A_frame_131.png,train
132,132,A,zebra_training_set/images/zebra_A_frame_132.png,train
133,133,A,zebra_training_set/images/zebra_A_frame_133.png,train
134,134,A,zebra_training_set/images/zebra_A_frame_134.png,train
135,135,A,zebra_training_set/images/zebra_A_frame_135.png,train
136,136,A,zebra_training_set/images/zebra_A_frame_136.png,train
137,137,A,zebra_training_set/images/zebra_A_frame_137.png,train
138,138,A,zebra_training_set/images/zebra_A_frame_138.png,train
139,139,A,zebra_training_set/images/zebra_A_frame_139.png,train
140,140,A,zebra_training_set/images/zebra_A_frame_140.png,test
141,141,A,zebra_training_set/images/zebra_A_frame_141.png,train
142,142,A,zebra_training_set/images/zebra_A_frame_142.png,train
143,143,A,zebra_training_set/images/zebra_A_frame_143.png,train
144,144,A,zebra_training_set/images/zebra_A_frame_144.png,train
145,145,A,zebra_training_set/images/zebra_A_frame_145.png,train
146,146,A,zebra_training_set/images/zebra_A_frame_146.png,test
147,147,A,zebra_training_set/images/zebra_A_frame_147.png,train
148,148,A,zebra_training_set/images/zebra_A_frame_148.png,train
149,149,A,zebra_training_set/images/zebra_A_frame_149.png,train
150,150,A,zebra_training_set/images/zebra_A_frame_150.png,train
151,151,A,zebra_training_set/images/zebra_A_frame_151.png,test
152,152,A,zebra_training_set/images/zebra_A_frame_152.png,train
153,153,A,zebra_training_set/images/zebra_A_frame_153.png,test
154,154,A,zebra_training_set/images/zebra_A_frame_154.png,train
155,155,A,zebra_training_set/images/zebra_A_frame_155.png,train
156,156,A,zebra_training_set/images/zebra_A_frame_156.png,test
157,157,A,zebra_training_set/images/zebra_A_frame_157.png,train
158,158,A,zebra_training_set/images/zebra_A_frame_158.png,train
159,159,A,zebra_training_set/images/zebra_A_frame_159.png,train
160,160,A,zebra_training_set/images/zebra_A_frame_160.png,train
161,161,A,zebra_training_set/images/zebra_A_frame_161.png,train
162,162,A,zebra_training_set/images/zebra_A_frame_162.png,train
163,163,A,zebra_training_set/images/zebra_A_frame_163.png,test
164,164,A,zebra_training_set/images/zebra_A_frame_164.png,train
165,165,A,zebra_training_set/images/zebra_A_frame_165.png,test
166,166,A,zebra_training_set/images/zebra_A_frame_166.png,train
167,167,A,zebra_training_set/images/zebra_A_frame_167.png,train
168,168,A,zebra_training_set/images/zebra_A_frame_168.png,train
169,169,A,zebra_training_set/images/zebra_A_frame_169.png,train
170,170,A,zebra_training_set/images/zebra_A_frame_170.png,train
171,171,A,zebra_training_set/images/zebra_A_frame_171.png,train
172,172,A,zebra_training_set/images/zebra_A_frame_172.png,train
173,173,A,zebra_training_set/images/zebra_A_frame_173.png,train
174,174,A,zebra_training_set/images/zebra_A_frame_174.png,train
175,175,A,zebra_training_set/images/zebra_A_frame_175.png,test
176,176,A,zebra_training_set/images/zebra_A_frame_176.png,train
177,177,A,zebra_training_set/images/zebra_A_frame_177.png,train
178,178,A,zebra_training_set/images/zebra_A_frame_178.png,train
179,179,A,zebra_training_set/images/zebra_A_frame_179.png,train
180,180,A,zebra_training_set/images/zebra_A_frame_180.png,test
181,181,A,zebra_training_set/images/zebra_A_frame_181.png,train
182,182,A,zebra_training_set/images/zebra_A_frame_182.png,train
183,183,A,zebra_training_set/images/zebra_A_frame_183.png,test
184,184,A,zebra_training_set/images/zebra_A_frame_184.png,train
