,image_id,identity,path,split
0,aadqxb,104,full images/segmented_query/aadqxb_aadqxb.jpg,train
1,aayvnn,3,full images/segmented_query/aayvnn_aayvnn.jpg,train
2,abecjl,125,full images/segmented_query/abecjl_abecjl.jpg,train
3,abejsg,114,full images/segmented_query/abejsg_abejsg.jpg,train
4,abnqwb,167,full images/segmented_query/abnqwb_abnqwb.jpg,train
5,abqhgd,82,full images/segmented_query/abqhgd_abqhgd.jpg,test
6,accwdn,103,full images/segmented_query/accwdn_accwdn.jpg,train
7,achuge,23,full images/segmented_database/achuge_achuge.jpg,train
8,acksie,223,full images/segmented_query/acksie_acksie.jpg,train
9,acswbh,91,full images/segmented_query/acswbh_acswbh.jpg,test
10,adbmug,91,full images/segmented_query/adbmug_adbmug.jpg,train
11,adenlf,168,full images/segmented_query/adenlf_adenlf.jpg,test
12,adpzbb,137,full images/segmented_database/adpzbb_adpzbb.jpg,train
13,aemyls,51,full images/segmented_query/aemyls_aemyls.jpg,train
14,afcewx,170,full images/segmented_query/afcewx_afcewx.jpg,train
15,afvaty,103,full images/segmented_query/afvaty_afvaty.jpg,test
16,afxpma,188,full images/segmented_query/afxpma_afxpma.jpg,train
17,afysik,91,full images/segmented_query/afysik_afysik.jpg,train
18,agejis,23,full images/segmented_query/agejis_agejis.jpg,train
19,agffjc,115,full images/segmented_query/agffjc_agffjc.jpg,train
20,agfgqy,38,full images/segmented_database/agfgqy_agfgqy.jpg,train
21,aglvii,188,full images/segmented_query/aglvii_aglvii.jpg,train
22,agpawk,168,full images/segmented_query/agpawk_agpawk.jpg,test
23,agpnot,34,full images/segmented_query/agpnot_agpnot.jpg,train
24,agpury,82,full images/segmented_query/agpury_agpury.jpg,test
25,agqfqx,160,full images/segmented_database/agqfqx_agqfqx.jpg,train
26,ahmgau,104,full images/segmented_query/ahmgau_ahmgau.jpg,test
27,ahqoqj,125,full images/segmented_query/ahqoqj_ahqoqj.jpg,train
28,ahwygj,104,full images/segmented_query/ahwygj_ahwygj.jpg,train
29,aicvbp,96,full images/segmented_query/aicvbp_aicvbp.jpg,train
30,aiedfx,125,full images/segmented_query/aiedfx_aiedfx.jpg,train
31,ainjtv,93,full images/segmented_query/ainjtv_ainjtv.jpg,train
32,aivvba,91,full images/segmented_query/aivvba_aivvba.jpg,train
33,ajfoka,168,full images/segmented_query/ajfoka_ajfoka.jpg,train
34,ajihwt,103,full images/segmented_database/ajihwt_ajihwt.jpg,train
35,ajkgrp,219,full images/segmented_query/ajkgrp_ajkgrp.jpg,train
36,ajlykt,88,full images/segmented_query/ajlykt_ajlykt.jpg,train
37,akqahm,93,full images/segmented_query/akqahm_akqahm.jpg,train
38,alcucv,114,full images/segmented_database/alcucv_alcucv.jpg,train
39,alepyw,26,full images/segmented_query/alepyw_alepyw.jpg,train
40,alzege,10,full images/segmented_query/alzege_alzege.jpg,train
41,amqujh,115,full images/segmented_database/amqujh_amqujh.jpg,train
42,amsbti,23,full images/segmented_query/amsbti_amsbti.jpg,train
43,amvhql,213,full images/segmented_query/amvhql_amvhql.jpg,train
44,anbjqe,38,full images/segmented_database/anbjqe_anbjqe.jpg,test
45,anghjk,34,full images/segmented_query/anghjk_anghjk.jpg,train
46,ankymh,103,full images/segmented_query/ankymh_ankymh.jpg,train
47,anowtn,176,full images/segmented_query/anowtn_anowtn.jpg,train
48,anrmhd,34,full images/segmented_query/anrmhd_anrmhd.jpg,train
49,anxvbw,23,full images/segmented_database/anxvbw_anxvbw.jpg,test
50,aodsxw,137,full images/segmented_database/aodsxw_aodsxw.jpg,train
51,aoshwu,161,full images/segmented_database/aoshwu_aoshwu.jpg,test
52,apkdrf,176,full images/segmented_query/apkdrf_apkdrf.jpg,train
53,apkusl,115,full images/segmented_query/apkusl_apkusl.jpg,train
54,aqpjld,103,full images/segmented_database/aqpjld_aqpjld.jpg,train
55,aqvvsb,125,full images/segmented_query/aqvvsb_aqvvsb.jpg,train
56,aqwhnv,10,full images/segmented_database/aqwhnv_aqwhnv.jpg,train
57,aqzshq,164,full images/segmented_query/aqzshq_aqzshq.jpg,train
58,arlnnq,104,full images/segmented_query/arlnnq_arlnnq.jpg,train
59,arpjfs,10,full images/segmented_query/arpjfs_arpjfs.jpg,train
60,arxpno,187,full images/segmented_database/arxpno_arxpno.jpg,train
61,asbwmd,103,full images/segmented_query/asbwmd_asbwmd.jpg,train
62,asigrl,149,full images/segmented_query/asigrl_asigrl.jpg,train
63,asjsyt,230,full images/segmented_query/asjsyt_asjsyt.jpg,train
64,atbyca,137,full images/segmented_query/atbyca_atbyca.jpg,train
65,atutcy,230,full images/segmented_query/atutcy_atutcy.jpg,train
66,auuzxe,170,full images/segmented_query/auuzxe_auuzxe.jpg,train
67,auzqtz,103,full images/segmented_query/auzqtz_auzqtz.jpg,train
68,avbhrd,80,full images/segmented_query/avbhrd_avbhrd.jpg,train
69,avgtmu,103,full images/segmented_query/avgtmu_avgtmu.jpg,test
70,avjmsg,103,full images/segmented_query/avjmsg_avjmsg.jpg,train
71,avqkjj,34,full images/segmented_query/avqkjj_avqkjj.jpg,train
72,avulpd,167,full images/segmented_query/avulpd_avulpd.jpg,train
73,avzspi,168,full images/segmented_query/avzspi_avzspi.jpg,train
74,awjnsk,213,full images/segmented_database/awjnsk_awjnsk.jpg,train
75,awsmbb,100,full images/segmented_query/awsmbb_awsmbb.jpg,test
76,awzwyo,22,full images/segmented_database/awzwyo_awzwyo.jpg,test
77,axfqkn,96,full images/segmented_database/axfqkn_axfqkn.jpg,test
78,axoopd,100,full images/segmented_query/axoopd_axoopd.jpg,train
79,axxzdz,167,full images/segmented_database/axxzdz_axxzdz.jpg,train
80,axzexx,160,full images/segmented_query/axzexx_axzexx.jpg,test
81,ayaulq,91,full images/segmented_query/ayaulq_ayaulq.jpg,train
82,ayeihp,26,full images/segmented_query/ayeihp_ayeihp.jpg,test
83,ayeplt,161,full images/segmented_query/ayeplt_ayeplt.jpg,train
84,aygjco,125,full images/segmented_query/aygjco_aygjco.jpg,train
85,ayvefe,91,full images/segmented_query/ayvefe_ayvefe.jpg,train
86,azkujn,93,full images/segmented_query/azkujn_azkujn.jpg,train
87,aznoed,164,full images/segmented_database/aznoed_aznoed.jpg,train
88,azoifl,219,full images/segmented_database/azoifl_azoifl.jpg,train
89,aztvmh,115,full images/segmented_query/aztvmh_aztvmh.jpg,test
90,babhqi,223,full images/segmented_database/babhqi_babhqi.jpg,test
