,image_id,identity,path,split
0,0,10563a2a-4c62-e8c9-e5a5-8582bf2eb059,whaleshark.coco/images/train2020/000000000001_0.jpg,train
1,1,341569f2-1f34-4884-1dd3-79137be4c77f,whaleshark.coco/images/train2020/000000000002_1.jpg,train
2,2,69f95579-8a42-8d93-8d78-7b641952933c,whaleshark.coco/images/train2020/000000000003_2.jpg,train
3,3,26560de1-6930-ddaf-5069-f7b85acd40fb,whaleshark.coco/images/train2020/000000000004_3.jpg,train
4,4,a785af89-b8c0-5e7b-acec-c4874ec5483f,whaleshark.coco/images/train2020/000000000005_4.jpg,train
5,5,17d5ac8c-685d-e019-32be-5136aff9aac3,whaleshark.coco/images/train2020/000000000006_5.jpg,train
6,6,1481bdde-1bf5-f327-48bd-4303b49f2f23,whaleshark.coco/images/train2020/000000000007_6.jpg,train
7,7,24e404dd-094c-e5bd-defa-e52125422443,whaleshark.coco/images/train2020/000000000008_7.jpg,train
8,8,4b0262ab-61cc-fdbf-8a08-320c9052963c,whaleshark.coco/images/train2020/000000000009_8.jpg,train
9,9,d4731fe6-8356-84b7-d0df-21d8585a494a,whaleshark.coco/images/train2020/000000000010_9.jpg,test
10,10,26560de1-6930-ddaf-5069-f7b85acd40fb,whaleshark.coco/images/train2020/000000000011_10.jpg,train
11,11,19fa3e36-bb68-3fbc-625d-a7d788796ac4,whaleshark.coco/images/train2020/000000000012_11.jpg,train
12,12,a2bbb21c-473f-74a9-15e2-b6661457ac0c,whaleshark.coco/images/train2020/000000000013_12.jpg,train
13,13,a785af89-b8c0-5e7b-acec-c4874ec5483f,whaleshark.coco/images/train2020/000000000014_13.jpg,train
14,14,1cf57545-7a91-ab69-4ecc-5ef84fadd959,whaleshark.coco/images/train2020/000000000015_14.jpg,test
15,15,12ed5d40-ef21-29b4-59a9-a83dd109c42d,whaleshark.coco/images/train2020/000000000016_15.jpg,train
16,16,ab5a46a9-64ac-3ef5-c6de-a704d5c65a5c,whaleshark.coco/images/train2020/000000000017_16.jpg,train
17,17,3f47e775-77a5-845f-6604-7e11952d083d,whaleshark.coco/images/train2020/000000000018_17.jpg,train
18,18,6c42f6ee-96d8-ce7c-4594-d68850806cc3,whaleshark.coco/images/train2020/000000000019_18.jpg,test
19,19,48501ab8-4a0f-8ce0-823b-d0dd26e4098b,whaleshark.coco/images/train2020/000000000020_19.jpg,train
20,20,7cc2a8a9-e070-19db-5e80-e656d998d31f,whaleshark.coco/images/train2020/000000000021_20.jpg,train
21,21,3f47e775-77a5-845f-6604-7e11952d083d,whaleshark.coco/images/train2020/000000000022_21.jpg,train
22,22,a61c17ac-9dd5-db30-cb82-c6333823cb43,whaleshark.coco/images/train2020/000000000023_22.jpg,train
23,23,a481d14a-35d9-c0b3-8fb1-daaaf5b7cb75,whaleshark.coco/images/train2020/000000000024_23.jpg,train
24,24,de473d56-8c61-13cb-6684-933726b40a3d,whaleshark.coco/images/train2020/000000000025_24.jpg,train
25,25,eb9bf5c9-a99e-852b-149d-7721a227180c,whaleshark.coco/images/train2020/000000000026_25.jpg,train
26,26,d121bad0-1525-fe66-d124-2394c7864fdd,whaleshark.coco/images/train2020/000000000027_26.jpg,train
27,27,341569f2-1f34-4884-1dd3-79137be4c77f,whaleshark.coco/images/train2020/000000000028_27.jpg,train
28,28,a785af89-b8c0-5e7b-acec-c4874ec5483f,whaleshark.coco/images/train2020/000000000029_28.jpg,train
29,29,431741cc-839f-cbaf-9859-162abfa36ba4,whaleshark.coco/images/train2020/000000000030_29.jpg,test
30,30,0a7bb3d0-4762-cee3-e4f2-f7d1d153ddd2,whaleshark.coco/images/train2020/000000000031_30.jpg,train
31,31,431741cc-839f-cbaf-9859-162abfa36ba4,whaleshark.coco/images/train2020/000000000032_31.jpg,train
32,32,2e1381fc-1f10-3d0a-fedb-2518e87e492c,whaleshark.coco/images/train2020/000000000033_32.jpg,train
33,33,b80f199f-2ead-a809-6a2d-1cf9fccd37a3,whaleshark.coco/images/train2020/000000000034_33.jpg,test
34,34,a61c17ac-9dd5-db30-cb82-c6333823cb43,whaleshark.coco/images/train2020/000000000035_34.jpg,train
35,35,058c2047-cdb9-6ce8-8130-80e53f23622f,whaleshark.coco/images/train2020/000000000036_35.jpg,train
36,36,341569f2-1f34-4884-1dd3-79137be4c77f,whaleshark.coco/images/train2020/000000000037_36.jpg,train
37,37,cb7d9fb1-2b1c-7c44-6fcf-fd4a2dc3e42b,whaleshark.coco/images/train2020/000000000038_37.jpg,train
38,38,7c8a623d-c9cf-0844-f844-b2ed52063b87,whaleshark.coco/images/train2020/000000000039_38.jpg,test
39,39,176a0208-db4d-26fc-5578-f38449c27981,whaleshark.coco/images/train2020/000000000040_39.jpg,train
40,40,262a2330-5e47-8311-180d-920d61e42841,whaleshark.coco/images/train2020/000000000041_40.jpg,train
41,41,a8b217e1-ff7c-fb10-ed6e-97929889ce74,whaleshark.coco/images/train2020/000000000042_41.jpg,train
42,42,175ce139-96a2-9ac9-27fe-d07f628034ad,whaleshark.coco/images/train2020/000000000043_42.jpg,train
43,43,0749736f-ca90-ed15-a460-1488f8ad9522,whaleshark.coco/images/train2020/000000000044_43.jpg,train
44,44,a785af89-b8c0-5e7b-acec-c4874ec5483f,whaleshark.coco/images/train2020/000000000045_44.jpg,train
