,0
BirdIndividualID,0.9680566182096404
SealID,0.6330935251798561
FriesianCattle2015,0.55
ATRW,0.933953488372093
NDD20,0.5856873822975518
SMALST,1.0
SeaTurtleIDHeads,0.837393021724819
AAUZebraFish,0.9955056179775281
CZoo,0.9810874704491725
CTai,0.8745980707395499
Giraffes,0.8097014925373134
HyenaID2022,0.6666666666666666
MacaqueFaces,0.9888535031847133
OpenCows2020,0.9957761351636748
StripeSpotter,0.9451219512195121
AerialCattle2017,1.0
GiraffeZebraID,0.6839654025282768
IPanda50,0.7985454545454546
WhaleSharkID,0.32744479495268136
FriesianCattle2017,0.9646464646464646
Cows2021,0.9873125720876585
LeopardID2022,0.6727145847871598
NOAARightWhale,0.2494646680942184
HappyWhale,0.14976072065309187
HumpbackWhaleID,0.3624699278267843
LionData,0.16129032258064516
NyalaData,0.14953271028037382
ZindiTurtleRecall,0.3838416612589228
BelugaID,0.3884103367267032
