,0
BirdIndividualID,0.967291507268554
SealID,0.5587529976019184
FriesianCattle2015,0.55
ATRW,0.9302325581395349
NDD20,0.5461393596986818
SMALST,1.0
SeaTurtleIDHeads,0.803818301514154
AAUZebraFish,0.9955056179775281
CZoo,0.9787234042553191
CTai,0.8445873526259379
Giraffes,0.8246268656716418
HyenaID2022,0.626984126984127
MacaqueFaces,0.9904458598726115
OpenCows2020,0.9957761351636748
StripeSpotter,0.9512195121951219
AerialCattle2017,1.0
GiraffeZebraID,0.6014637391882901
IPanda50,0.7483636363636363
WhaleSharkID,0.2858044164037855
FriesianCattle2017,0.9545454545454546
Cows2021,0.9913494809688581
LeopardID2022,0.6706210746685276
NOAARightWhale,0.25160599571734477
HappyWhale,0.12583278596227832
HumpbackWhaleID,0.28120823309275594
LionData,0.14838709677419354
NyalaData,0.09345794392523364
ZindiTurtleRecall,0.26768332251784555
BelugaID,0.3312451057165231
